tag,episodes,alpha,gamma,p_intended,step_cost,obstacle_ratio,avg_return_last100,greedy_avg,random_avg,train_seconds,curve_path
step_m1.00,5000,0.2,0.95,0.8,-1.0,0.12,31.29,32.07,-270.87,3.9477505683898926,results\learning_curves\step_m1.00_20251003_123041.png
step_m0.50,5000,0.2,0.95,0.8,-0.5,0.12,40.74,41.025,-152.195,4.162604093551636,results\learning_curves\step_m0.50_20251003_123046.png
