tag,episodes,alpha,gamma,p_intended,step_cost,obstacle_ratio,avg_return_last100,greedy_avg,random_avg,train_seconds,curve_path
p_0.60,5000,0.2,0.95,0.6,-1.0,0.12,23.41,24.62,-236.04,16.73315954208374,results\learning_curves\p_0.60_20251003_123025.png
p_0.80,5000,0.2,0.95,0.8,-1.0,0.12,31.29,32.07,-270.87,7.985199213027954,results\learning_curves\p_0.80_20251003_123035.png
